BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Power                                                           
LXCat0.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        293.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E-05
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           500.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    1000.    
Mole fraction Power                        1.000    
 
 
E/N (Td)    	Electric field / N (Td)                                         
0.4000	0.4000
0.5580	0.5580
0.7784	0.7784
1.086	1.086
1.515	1.515
2.113	2.113
2.947	2.947
4.111	4.111
5.735	5.735
8.000	8.000
 
 
E/N (Td)    	Grid type                                                       
0.4000	0.000
0.5580	3.000
0.7784	3.000
1.086	3.000
1.515	3.000
2.113	3.000
2.947	3.000
4.111	3.000
5.735	3.000
8.000	3.000
 
 
E/N (Td)    	Maximum energy                                                  
0.4000	1000.
0.5580	2.675
0.7784	4.581
1.086	7.845
1.515	16.06
2.113	27.38
2.947	55.62
4.111	112.8
5.735	191.5
8.000	387.9
 
 
E/N (Td)	Mean energy (eV)
0.4000	0.1546
0.5580	0.2649
0.7784	0.4796
1.086	0.8974
1.515	1.710
2.113	3.292
2.947	6.371
4.111	12.36
5.735	24.02
8.000	46.70
 
 
E/N (Td)	Mobility *N (1/m/V/s)
0.4000	0.2966E+25
0.5580	0.2966E+25
0.7784	0.2966E+25
1.086	0.2966E+25
1.515	0.2966E+25
2.113	0.2965E+25
2.947	0.2965E+25
4.111	0.2965E+25
5.735	0.2965E+25
8.000	0.2965E+25
 
 
E/N (Td)	Diffusion coefficient *N (1/m/s)
0.4000	0.3057E+24
0.5580	0.5238E+24
0.7784	0.9484E+24
1.086	0.1774E+25
1.515	0.3382E+25
2.113	0.6509E+25
2.947	0.1260E+26
4.111	0.2444E+26
5.735	0.4748E+26
8.000	0.9233E+26
 
 
E/N (Td)	Energy mobility *N (1/m/V/s)
0.4000	0.4943E+25
0.5580	0.4943E+25
0.7784	0.4943E+25
1.086	0.4943E+25
1.515	0.4943E+25
2.113	0.4943E+25
2.947	0.4943E+25
4.111	0.4943E+25
5.735	0.4943E+25
8.000	0.4943E+25
 
 
E/N (Td)	Energy diffusion coef. D*N (1/m/s)
0.4000	0.5092E+24
0.5580	0.8728E+24
0.7784	0.1580E+25
1.086	0.2957E+25
1.515	0.5636E+25
2.113	0.1085E+26
2.947	0.2099E+26
4.111	0.4073E+26
5.735	0.7914E+26
8.000	0.1539E+27
 
 
E/N (Td)	Total collision freq. /N (m3/s)
0.4000	0.5899E-13
0.5580	0.5916E-13
0.7784	0.5925E-13
1.086	0.5929E-13
1.515	0.5930E-13
2.113	0.5931E-13
2.947	0.5931E-13
4.111	0.5931E-13
5.735	0.5931E-13
8.000	0.5931E-13
 
 
E/N (Td)	Momentum frequency /N (m3/s)
0.4000	0.5930E-13
0.5580	0.5930E-13
0.7784	0.5931E-13
1.086	0.5931E-13
1.515	0.5931E-13
2.113	0.5931E-13
2.947	0.5931E-13
4.111	0.5931E-13
5.735	0.5931E-13
8.000	0.5931E-13
 
 
E/N (Td)	Power /N (eV m3/s)
0.4000	0.4746E-18
0.5580	0.9234E-18
0.7784	0.1797E-17
1.086	0.3496E-17
1.515	0.6803E-17
2.113	0.1324E-16
2.947	0.2576E-16
4.111	0.5012E-16
5.735	0.9753E-16
8.000	0.1898E-15
 
 
E/N (Td)	Elastic power loss /N (eV m3/s)
0.4000	0.4745E-18
0.5580	0.9233E-18
0.7784	0.1797E-17
1.086	0.3496E-17
1.515	0.6803E-17
2.113	0.1324E-16
2.947	0.2576E-16
4.111	0.5012E-16
5.735	0.9754E-16
8.000	0.1898E-15
 
 
E/N (Td)	Maximum energy
0.4000	2.675
0.5580	4.581
0.7784	7.845
1.086	16.06
1.515	27.38
2.113	55.62
2.947	112.8
4.111	191.5
5.735	387.9
8.000	785.5
 
 
E/N (Td)	# of iterations
0.4000	6.000
0.5580	12.00
0.7784	12.00
1.086	16.00
1.515	12.00
2.113	15.00
2.947	16.00
4.111	12.00
5.735	16.00
8.000	16.00
 
 
E/N (Td)	# of grid trials
0.4000	2.000
0.5580	4.000
0.7784	4.000
1.086	5.000
1.515	4.000
2.113	5.000
2.947	5.000
4.111	4.000
5.735	5.000
8.000	5.000
 
 
C1    Power    Effective (momentum)                             
E/N (Td)	Rate coefficient (m3/s)
0.4000	0.5899E-13
0.5580	0.5916E-13
0.7784	0.5925E-13
1.086	0.5929E-13
1.515	0.5930E-13
2.113	0.5931E-13
2.947	0.5931E-13
4.111	0.5931E-13
5.735	0.5931E-13
8.000	0.5931E-13
 
 
Power                                                           
E/N (Td)	Inelastic energy loss coefficient (eV m3/s)
0.4000	0.000
0.5580	0.000
0.7784	0.000
1.086	0.000
1.515	0.000
2.113	0.000
2.947	0.000
4.111	0.000
5.735	0.000
8.000	0.000
 
 
