BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Reid                                                            
LXCat0.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        0.000    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E-05
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           400.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    1000.    
Mole fraction Reid                         1.000    
 
 
E/N (Td)    	Electric field / N (Td)                                         
1.000	1.000
1.040	1.040
1.082	1.082
1.126	1.126
1.171	1.171
1.218	1.218
1.268	1.268
1.319	1.319
1.372	1.372
1.427	1.427
1.485	1.485
1.544	1.544
1.607	1.607
1.671	1.671
1.739	1.739
1.809	1.809
1.882	1.882
1.958	1.958
2.037	2.037
2.119	2.119
2.204	2.204
2.293	2.293
2.385	2.385
2.481	2.481
2.581	2.581
2.686	2.686
2.794	2.794
2.906	2.906
3.024	3.024
3.145	3.145
3.272	3.272
3.404	3.404
3.541	3.541
3.684	3.684
3.833	3.833
3.987	3.987
4.148	4.148
4.315	4.315
4.489	4.489
4.670	4.670
4.858	4.858
5.054	5.054
5.257	5.257
5.469	5.469
5.690	5.690
5.919	5.919
6.158	6.158
6.406	6.406
6.664	6.664
6.933	6.933
7.212	7.212
7.503	7.503
7.805	7.805
8.120	8.120
8.447	8.447
8.788	8.788
9.142	9.142
9.510	9.510
9.894	9.894
10.29	10.29
10.71	10.71
11.14	11.14
11.59	11.59
12.05	12.05
12.54	12.54
13.05	13.05
13.57	13.57
14.12	14.12
14.69	14.69
15.28	15.28
15.90	15.90
16.54	16.54
17.20	17.20
17.90	17.90
18.62	18.62
19.37	19.37
20.15	20.15
20.96	20.96
21.81	21.81
22.69	22.69
23.60	23.60
24.55	24.55
25.54	25.54
26.57	26.57
27.64	27.64
28.75	28.75
29.91	29.91
31.12	31.12
32.37	32.37
33.68	33.68
35.04	35.04
36.45	36.45
37.92	37.92
39.45	39.45
41.04	41.04
42.69	42.69
44.41	44.41
46.20	46.20
48.06	48.06
50.00	50.00
 
 
E/N (Td)    	Grid type                                                       
1.000	0.000
1.040	3.000
1.082	3.000
1.126	3.000
1.171	3.000
1.218	3.000
1.268	3.000
1.319	3.000
1.372	3.000
1.427	3.000
1.485	3.000
1.544	3.000
1.607	3.000
1.671	3.000
1.739	3.000
1.809	3.000
1.882	3.000
1.958	3.000
2.037	3.000
2.119	3.000
2.204	3.000
2.293	3.000
2.385	3.000
2.481	3.000
2.581	3.000
2.686	3.000
2.794	3.000
2.906	3.000
3.024	3.000
3.145	3.000
3.272	3.000
3.404	3.000
3.541	3.000
3.684	3.000
3.833	3.000
3.987	3.000
4.148	3.000
4.315	3.000
4.489	3.000
4.670	3.000
4.858	3.000
5.054	3.000
5.257	3.000
5.469	3.000
5.690	3.000
5.919	3.000
6.158	3.000
6.406	3.000
6.664	3.000
6.933	3.000
7.212	3.000
7.503	3.000
7.805	3.000
8.120	3.000
8.447	3.000
8.788	3.000
9.142	3.000
9.510	3.000
9.894	3.000
10.29	3.000
10.71	3.000
11.14	3.000
11.59	3.000
12.05	3.000
12.54	3.000
13.05	3.000
13.57	3.000
14.12	3.000
14.69	3.000
15.28	3.000
15.90	3.000
16.54	3.000
17.20	3.000
17.90	3.000
18.62	3.000
19.37	3.000
20.15	3.000
20.96	3.000
21.81	3.000
22.69	3.000
23.60	3.000
24.55	3.000
25.54	3.000
26.57	3.000
27.64	3.000
28.75	3.000
29.91	3.000
31.12	3.000
32.37	3.000
33.68	3.000
35.04	3.000
36.45	3.000
37.92	3.000
39.45	3.000
41.04	3.000
42.69	3.000
44.41	3.000
46.20	3.000
48.06	3.000
50.00	3.000
 
 
E/N (Td)    	Maximum energy                                                  
1.000	100.0
1.040	1.165
1.082	1.393
1.126	1.393
1.171	1.393
1.218	1.393
1.268	1.393
1.319	1.393
1.372	1.393
1.427	1.393
1.485	1.393
1.544	1.393
1.607	1.393
1.671	1.393
1.739	1.393
1.809	1.393
1.882	1.393
1.958	1.393
2.037	1.393
2.119	1.393
2.204	1.393
2.293	1.393
2.385	1.393
2.481	1.393
2.581	1.393
2.686	1.393
2.794	1.393
2.906	1.393
3.024	1.393
3.145	1.665
3.272	1.665
3.404	1.665
3.541	1.665
3.684	1.665
3.833	1.665
3.987	1.665
4.148	1.665
4.315	1.665
4.489	1.665
4.670	1.665
4.858	1.665
5.054	1.665
5.257	1.665
5.469	1.665
5.690	1.991
5.919	1.991
6.158	1.991
6.406	1.991
6.664	1.991
6.933	1.991
7.212	1.991
7.503	1.991
7.805	1.991
8.120	1.991
8.447	1.991
8.788	1.991
9.142	1.991
9.510	2.380
9.894	2.380
10.29	2.380
10.71	2.380
11.14	2.380
11.59	2.380
12.05	2.380
12.54	2.380
13.05	2.380
13.57	2.380
14.12	2.380
14.69	2.845
15.28	2.845
15.90	2.845
16.54	2.845
17.20	2.845
17.90	2.845
18.62	2.845
19.37	2.845
20.15	2.845
20.96	2.845
21.81	3.401
22.69	3.401
23.60	3.401
24.55	3.401
25.54	3.401
26.57	3.401
27.64	3.401
28.75	3.401
29.91	3.401
31.12	4.066
32.37	4.066
33.68	4.066
35.04	4.066
36.45	4.066
37.92	4.066
39.45	4.066
41.04	4.066
42.69	4.861
44.41	4.861
46.20	4.861
48.06	4.861
50.00	4.861
 
 
E/N (Td)	Mean energy (eV)
1.000	0.3182
1.040	0.3197
1.082	0.3212
1.126	0.3227
1.171	0.3242
1.218	0.3257
1.268	0.3273
1.319	0.3288
1.372	0.3303
1.427	0.3319
1.485	0.3335
1.544	0.3351
1.607	0.3368
1.671	0.3384
1.739	0.3401
1.809	0.3418
1.882	0.3436
1.958	0.3454
2.037	0.3472
2.119	0.3491
2.204	0.3510
2.293	0.3530
2.385	0.3550
2.481	0.3571
2.581	0.3592
2.686	0.3613
2.794	0.3636
2.906	0.3658
3.024	0.3682
3.145	0.3706
3.272	0.3731
3.404	0.3756
3.541	0.3782
3.684	0.3809
3.833	0.3837
3.987	0.3865
4.148	0.3895
4.315	0.3925
4.489	0.3956
4.670	0.3987
4.858	0.4020
5.054	0.4054
5.257	0.4089
5.469	0.4125
5.690	0.4162
5.919	0.4199
6.158	0.4238
6.406	0.4279
6.664	0.4320
6.933	0.4363
7.212	0.4407
7.503	0.4452
7.805	0.4499
8.120	0.4547
8.447	0.4596
8.788	0.4647
9.142	0.4700
9.510	0.4754
9.894	0.4809
10.29	0.4867
10.71	0.4926
11.14	0.4986
11.59	0.5049
12.05	0.5113
12.54	0.5180
13.05	0.5248
13.57	0.5318
14.12	0.5391
14.69	0.5465
15.28	0.5542
15.90	0.5621
16.54	0.5702
17.20	0.5786
17.90	0.5872
18.62	0.5960
19.37	0.6051
20.15	0.6145
20.96	0.6242
21.81	0.6341
22.69	0.6443
23.60	0.6548
24.55	0.6656
25.54	0.6767
26.57	0.6882
27.64	0.6999
28.75	0.7120
29.91	0.7245
31.12	0.7373
32.37	0.7504
33.68	0.7640
35.04	0.7779
36.45	0.7922
37.92	0.8069
39.45	0.8220
41.04	0.8375
42.69	0.8535
44.41	0.8699
46.20	0.8868
48.06	0.9042
50.00	0.9220
 
 
E/N (Td)	Mobility *N (1/m/V/s)
1.000	0.1057E+26
1.040	0.1053E+26
1.082	0.1049E+26
1.126	0.1044E+26
1.171	0.1039E+26
1.218	0.1035E+26
1.268	0.1030E+26
1.319	0.1025E+26
1.372	0.1021E+26
1.427	0.1016E+26
1.485	0.1011E+26
1.544	0.1006E+26
1.607	0.1001E+26
1.671	0.9955E+25
1.739	0.9901E+25
1.809	0.9846E+25
1.882	0.9790E+25
1.958	0.9733E+25
2.037	0.9674E+25
